tstamp,x,y
2.9290151596069336,262,224
3.189055919647217,276,220
3.2816238403320312,276,220
3.4480783939361572,284,210
3.5456361770629883,288,208
3.6474361419677734,288,208
3.746983051300049,284,206
3.836367607116699,298,202
3.9441442489624023,302,200
4.13368821144104,320,186
4.492753744125366,372,178
4.7734153270721436,426,182
4.872667074203491,428,180
5.105676651000977,432,176
5.330759048461914,444,174
5.434302806854248,454,174
5.547128200531006,472,166
5.665002346038818,476,156
9.498095989227295,376,306
10.215726137161255,382,302
10.798086881637573,400,308
11.696093320846558,288,304
12.156376838684082,266,308
12.483201503753662,248,308
12.568724870681763,246,310
12.800587177276611,232,308
18.51883840560913,358,182
18.712743997573853,350,172
18.81401228904724,348,170
18.908293962478638,342,172
18.994872331619263,336,174
19.070916175842285,336,174
19.311139822006226,314,172
19.40192198753357,312,176
19.56015419960022,286,168
19.689898014068604,256,166
19.902995347976685,226,164
20.45016312599182,168,156
20.726691484451294,162,140
20.905001163482666,184,126
22.7070791721344,372,132
26.142961502075195,366,308
26.226129293441772,360,304
26.49683165550232,338,298
26.59677004814148,322,302
26.880199193954468,302,296
26.99705982208252,286,296
27.29342555999756,252,292
27.38990020751953,240,292
27.48526644706726,224,290
27.868330717086792,198,286
28.47234559059143,142,286
28.70417356491089,126,282
